id	version	sections	role	url	sha256	status
rfc9562	RFC-9562	all	normative-specification	https://www.rfc-editor.org/rfc/rfc9562.txt	041870106b8701d9fa9261dcbc1679a6b7ab18cb179b37b69d7232431eac8042	pinned
rfc9562-errata	RFC-9562	all	errata	https://errata.rfc-editor.org/rfc9562	cf3c99ffae467635bf67c5aa82bdfc7fb150823deae6105304fe8c7cb4c90a6a	pinned
ulid-spec	d0c7170df4517939e70129b4d6462cc162f2d5bf	README	protocol-specification	https://raw.githubusercontent.com/ulid/spec/d0c7170df4517939e70129b4d6462cc162f2d5bf/README.md	1f6799a6c33e2f2561ab26dd98f67af966dc3953b84bb595f629089828a0e822	pinned
typeid-spec	0.3.0-be8ff0daf5dc1f6d40c62a03cfc89945263a69af	spec/README	protocol-specification	https://raw.githubusercontent.com/jetify-com/typeid/be8ff0daf5dc1f6d40c62a03cfc89945263a69af/spec/README.md	c48f563a66b0e176874d1a6195032a4801ba72e572b90bcfefae08ce894081a8	pinned
typeid-valid	0.3.0-be8ff0daf5dc1f6d40c62a03cfc89945263a69af	spec/valid.json	official-fixture	https://raw.githubusercontent.com/jetify-com/typeid/be8ff0daf5dc1f6d40c62a03cfc89945263a69af/spec/valid.json	af5a9cf2447d757b9354f33861d5d83f4e3244487eac191e37021013ce0c17e3	pinned
typeid-invalid	0.3.0-be8ff0daf5dc1f6d40c62a03cfc89945263a69af	spec/invalid.json	official-fixture	https://raw.githubusercontent.com/jetify-com/typeid/be8ff0daf5dc1f6d40c62a03cfc89945263a69af/spec/invalid.json	b1bf19bd2c922970bbe0381499807d3a0da652abb3da813b9ab75bac7c25217c	pinned
segment-ksuid	d33724947fcfba7949906c2b1821e96a1c8d06e7	README	reference-format	https://raw.githubusercontent.com/segmentio/ksuid/d33724947fcfba7949906c2b1821e96a1c8d06e7/README.md	9a8d6bd72ff5d7b611b3e9469c28747485ea051c49bc37b0a09794b9b4e30103	pinned
nanoid-reference	07a39d62d84c21af5046fe6b2ef7b3e36ee557db	README	reference-profile	https://raw.githubusercontent.com/ai/nanoid/07a39d62d84c21af5046fe6b2ef7b3e36ee557db/README.md	98e9fc81fa79162706dcad33f12ade1778bc7edd5ba5884f925a59e060be4f37	pinned
nanoid-algorithm	07a39d62d84c21af5046fe6b2ef7b3e36ee557db	index.js	reference-algorithm	https://raw.githubusercontent.com/ai/nanoid/07a39d62d84c21af5046fe6b2ef7b3e36ee557db/index.js	506c533e028e8539386e85cf2e8cebe68496208a711e9889c2e470afcf2d00f6	pinned
google-uuid	v1.6.0	uuid.go	maintained-peer-source	https://raw.githubusercontent.com/google/uuid/v1.6.0/uuid.go	0edec8e34c6b6fe0db31b71a29069a09ed832e3fd04ee0175916b58f2b60e5c1	pinned
oklog-ulid	v2.1.1	ulid.go	maintained-peer-source	https://raw.githubusercontent.com/oklog/ulid/v2.1.1/ulid.go	220cfbb39d1cba40c5a587a9fc8c52688cb02bd49645ef8b044c17db455b9b80	pinned
jetify-typeid	v2.0.0-alpha.3	typeid.go	maintained-peer-source	https://raw.githubusercontent.com/jetify-com/typeid-go/v2.0.0-alpha.3/typeid.go	e375fecd30aeed221b6742a4903165b78e1ca70b20d5a03769cfbce84f7df47b	pinned
segment-ksuid-peer	v1.0.4	ksuid.go	maintained-peer-source	https://raw.githubusercontent.com/segmentio/ksuid/v1.0.4/ksuid.go	cd1c9c4aa19296ab278fb32509e500d966006bcdfca3b440d25bd6192733ca66	pinned
matoous-nanoid	v2.1.0	gonanoid.go	maintained-peer-source	https://raw.githubusercontent.com/matoous/go-nanoid/v2.1.0/gonanoid.go	a0269f7e656bbbe6031aee619041dd3c4c022a6ff15461c3500ec290179a43f0	pinned
laravel-slug	Laravel-13-138e5806ed7e4e21591948b661119d3810f052cf	Str.php	compatibility-profile	https://raw.githubusercontent.com/laravel/framework/138e5806ed7e4e21591948b661119d3810f052cf/src/Illuminate/Support/Str.php	1993f1413bd9709360c04b266ee2d94d1a6a324561167bfa5986e06ae2a6c489	pinned
spatie-sluggable	4.0.2-82a69be1ef661ce2ff38242b271457ef0b9611dd	SlugOptions.php	compatibility-profile-extension	https://raw.githubusercontent.com/spatie/laravel-sluggable/82a69be1ef661ce2ff38242b271457ef0b9611dd/src/SlugOptions.php	2cb8e8ceba8a8a9a79f8fe282d32fab600a3ad95acdcc96c54b5d2b5c77d87ba	pinned
